Desc=
Background=white
Tab=Default-Tab
Scale=3600
Name=CRQN, 0.0, 1.2, NORMALIZED CORE POWER, 255|0|0, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=pcxrcl100ta, 290.0, 310.0, RCL 2 2 AVG T 1, 0|0|255, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=rcthl(2), 290.0, 310.0, hot leg mixture temperature, 0|255|64, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=rctcl(2), 280.0, 300.0, cold leg temperatures, 0|255|255, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=rlppsgmpa(2), 5.0, 6.3, SG press in MPa for INS, 0|128|192, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=rcwsg(1), -1.0, 1.0, main steam mixture flow, 128|0|255, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=rcwsg(2), -1.0, 1.0, main steam mixture flow, 255|0|255, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=rcsxavg_set, -1.0, 1.0, rcsxavg_set, 0|0|255, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Tab=DefaultTab_2
Scale=300
Name=rxritemp36, 285.0, 296.0, , 255|0|0, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=rlppprzmpa, -1.0, 1.0, PRZ press in MPa for INS, 0|0|255, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=rcw(50), -1.0, 1.0, cell mixture mass flow, 0|255|64, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=rcwfeed(1), -1.0, 1.0, feed water flow to sg, 0|255|255, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=rcwfeed(2), -1.0, 1.0, feed water flow to sg, 0|128|192, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=fwttfwhdr1, -1.0, 1.0, temp of mfw hdr, 128|0|255, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=fwttfwhdr2, -1.0, 1.0, temp of mfw hdr, 255|0|255, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Name=rctsg(1), -1.0, 1.0, sg dome mixture temperature, 0|0|255, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
Tab=DefaultTab_3
Scale=300
Name=rctsg(2), -1.0, 1.0, sg dome mixture temperature, 255|0|0, 0, 2, 1.0, 0.0, 4, 2, 5, , 0, 0, -1.0, 1.0, 0, 4, 2, 5,  solid, #0.00
time,CRQN,pcxrcl100ta,rcthl(2),rctcl(2),rlppsgmpa(2),rcwsg(1),rcwsg(2),rcsxavg_set,rxritemp36,rlppprzmpa,rcw(50),rcwfeed(1),rcwfeed(2),fwttfwhdr1,fwttfwhdr2,rctsg(1),rctsg(2),
0.8,1.0147877931594849,294.45843505859375,306.33251953125,282.86846923828125,5.8179450035095215,243.72042846679688,244.25250244140625,306.0,306.0,15.214248657226562,3620.709228515625,246.75099182128906,246.3633575439453,212.86294555664062,212.86358642578125,272.43408203125,272.64764404296875,
1.8,1.0149022340774536,294.4595947265625,306.33392333984375,282.86529541015625,5.818240165710449,243.75453186035156,244.26351928710938,306.0,306.0,15.214104652404785,3621.15576171875,246.6708221435547,246.4316864013672,212.8632354736328,212.86387634277344,272.43914794921875,272.67138671875,
2.85,1.0149755477905273,294.45941162109375,306.3365478515625,282.8616943359375,5.818059921264648,243.80332946777344,244.31414794921875,306.0,306.0,15.21291732788086,3620.060791015625,246.76296997070312,246.37225341796875,212.86334228515625,212.8639678955078,272.44085693359375,272.685546875,
3.8,1.0148941278457642,294.4593200683594,306.33807373046875,282.8609619140625,5.818569183349609,243.8619842529297,244.39724731445312,306.0,306.0,15.212326049804688,3619.778076171875,246.79266357421875,246.34304809570312,212.8634796142578,212.86410522460938,272.4405517578125,272.69183349609375,
4.8,1.0147669315338135,294.4588623046875,306.33966064453125,282.84893798828125,5.818863391876221,243.84756469726562,244.3957061767578,306.0,306.0,15.212859153747559,3619.6279296875,246.7924346923828,246.3248291015625,212.86386108398438,212.864501953125,272.4378662109375,272.69500732421875,
5.8,1.014678955078125,294.45550537109375,306.33880615234375,282.8277587890625,5.8189897537231445,243.71255493164062,244.29432678222656,306.0,306.0,15.215019226074219,3620.96240234375,246.78929138183594,246.31643676757812,212.8641815185547,212.8648681640625,272.4193115234375,272.68804931640625,
6.8,1.014652132987976,294.4488525390625,306.33746337890625,282.80682373046875,5.818475723266602,243.6636962890625,244.2430419921875,306.0,306.0,15.211779594421387,3620.458984375,246.69715881347656,246.35171508789062,212.86468505859375,212.86544799804688,272.43463134765625,272.68975830078125,
7.8,1.0146204233169556,294.4415588378906,306.334228515625,282.79754638671875,5.819005489349365,243.8225860595703,244.3958740234375,306.0,306.0,15.21237850189209,3620.2060546875,246.75314331054688,246.33279418945312,212.86471557617188,212.86544799804688,272.43499755859375,272.6953125,
8.8,1.0146636962890625,294.4351806640625,306.3275146484375,282.79437255859375,5.819182872772217,243.7378387451172,244.33338928222656,306.0,306.0,15.214510917663574,3621.355712890625,246.77674865722656,246.314697265625,212.8647003173828,212.8654022216797,272.421142578125,272.69610595703125,
9.8,1.0148065090179443,294.4298095703125,306.31884765625,282.7935791015625,5.8192315101623535,243.71470642089844,244.32875061035156,306.0,306.0,15.211322784423828,3620.60986328125,246.7245635986328,246.32232666015625,212.86473083496094,212.86550903320312,272.4307861328125,272.6900634765625,
10.9,1.015123963356018,294.4239807128906,306.309814453125,282.7933349609375,5.8189287185668945,243.7334442138672,244.31890869140625,306.0,306.0,15.214362144470215,3620.472412109375,246.72732543945312,246.3365936279297,212.8647918701172,212.8655548095703,272.43109130859375,272.69287109375,
12.1,1.0161246061325073,294.4201354980469,306.3055419921875,282.7938232421875,5.81932258605957,243.70875549316406,244.32540893554688,306.0,306.0,15.211895942687988,3620.55126953125,246.7414093017578,246.31935119628906,212.8646240234375,212.8654022216797,272.42132568359375,272.6966552734375,
13.3,1.0163553953170776,294.4165954589844,306.30609130859375,282.79364013671875,5.819479942321777,243.74856567382812,244.3754119873047,306.0,306.0,15.21455192565918,3621.37841796875,246.7206573486328,246.3183135986328,212.86471557617188,212.86553955078125,272.42926025390625,272.6925048828125,
13.9,1.0163553953170776,294.415283203125,306.3084716796875,282.79266357421875,5.819031715393066,243.7414093017578,244.3553924560547,306.0,306.0,15.214753150939941,3620.4462890625,246.7390899658203,246.31382751464844,212.86465454101562,212.86546325683594,272.42486572265625,272.68475341796875,
15.1,1.0164942741394043,294.4144287109375,306.315673828125,282.79193115234375,5.81915283203125,243.61476135253906,244.24069213867188,306.0,306.0,15.212600708007812,3620.595703125,246.6808319091797,246.3494110107422,212.86460876464844,212.86544799804688,272.420654296875,272.6932373046875,
16.3,1.0163456201553345,294.41455078125,306.3223876953125,282.79046630859375,5.819375991821289,243.75576782226562,244.39083862304688,306.0,306.0,15.215629577636719,3621.4453125,246.71490478515625,246.32493591308594,212.8645477294922,212.86537170410156,272.4189453125,272.69207763671875,
16.9,1.0163456201553345,294.41510009765625,306.32525634765625,282.78948974609375,5.819100379943848,243.69137573242188,244.33428955078125,306.0,306.0,15.215983390808105,3620.5126953125,246.73715209960938,246.31614685058594,212.86434936523438,212.86517333984375,272.41448974609375,272.68511962890625,
18.1,1.0162314176559448,294.4160461425781,306.3287353515625,282.7896728515625,5.81915807723999,243.67724609375,244.3102264404297,306.0,306.0,15.21372127532959,3620.6337890625,246.6696014404297,246.3524932861328,212.86434936523438,212.86521911621094,272.42340087890625,272.6927490234375,
18.85,1.0162314176559448,294.41680908203125,306.32916259765625,282.7900390625,5.819371700286865,243.77090454101562,244.4087371826172,306.0,306.0,15.213950157165527,3620.66259765625,246.7089385986328,246.33201599121094,212.86419677734375,212.86505126953125,272.42218017578125,272.69537353515625,
19.85,1.0161607265472412,294.417724609375,306.32818603515625,282.7906494140625,5.8195085525512695,243.71560668945312,244.37335205078125,306.0,306.0,15.216754913330078,3620.27783203125,246.73776245117188,246.31414794921875,212.8641815185547,212.86502075195312,272.41375732421875,272.6959228515625,
21.1,1.0163581371307373,294.4185791015625,306.326416015625,282.792724609375,5.819249629974365,243.73670959472656,244.39964294433594,306.0,306.0,15.214523315429688,3620.5888671875,246.71075439453125,246.31393432617188,212.86428833007812,212.86517333984375,272.4232177734375,272.685302734375,
22.3,1.0163882970809937,294.4193115234375,306.32470703125,282.79443359375,5.81912899017334,243.7258758544922,244.3592071533203,306.0,306.0,15.217264175415039,3621.385009765625,246.68585205078125,246.344482421875,212.8643341064453,212.8651885986328,272.42437744140625,272.6934814453125,
22.9,1.0163882970809937,294.4196472167969,306.32452392578125,282.794677734375,5.8195013999938965,243.77244567871094,244.416748046875,306.0,306.0,15.217538833618164,3620.4677734375,246.7073516845703,246.3254852294922,212.86434936523438,212.86520385742188,272.41888427734375,272.69586181640625,
24.1,1.016542911529541,294.42010498046875,306.32574462890625,282.7957763671875,5.819632530212402,243.68101501464844,244.3606719970703,306.0,306.0,15.215322494506836,3620.577880859375,246.69886779785156,246.31671142578125,212.86427307128906,212.8651580810547,272.41748046875,272.6934814453125,
25.3,1.0164700746536255,294.4208068847656,306.3271484375,282.7962646484375,5.819090366363525,243.70343017578125,244.35684204101562,306.0,306.0,15.218193054199219,3621.3955078125,246.68887329101562,246.32626342773438,212.86431884765625,212.86521911621094,272.4219970703125,272.6884765625,
25.9,1.0164700746536255,294.4212646484375,306.3282470703125,282.79595947265625,5.819345951080322,243.73374938964844,244.38186645507812,306.0,306.0,15.218374252319336,3620.452392578125,246.67706298828125,246.34002685546875,212.86419677734375,212.86508178710938,272.423583984375,272.6942138671875,
27.1,1.0164222717285156,294.42193603515625,306.33050537109375,282.7962646484375,5.8196306228637695,243.7421417236328,244.40728759765625,306.0,306.0,15.216296195983887,3620.580322265625,246.71121215820312,246.31529235839844,212.86415100097656,212.86502075195312,272.40972900390625,272.69683837890625,
28.3,1.0163238048553467,294.4226989746094,306.3311767578125,282.79644775390625,5.819791793823242,243.71725463867188,244.4098358154297,306.0,306.0,15.219141006469727,3621.415283203125,246.6712646484375,246.3198699951172,212.86402893066406,212.864990234375,272.42022705078125,272.699951171875,
28.9,1.0163238048553467,294.423095703125,306.3311767578125,282.796142578125,5.819873809814453,243.77003479003906,244.45457458496094,306.0,306.0,15.219355583190918,3620.453125,246.6995086669922,246.30813598632812,212.86404418945312,212.864990234375,272.42169189453125,272.69329833984375,
30.1,1.0163555145263672,294.4235534667969,306.33099365234375,282.79705810546875,5.819092750549316,243.64508056640625,244.31080627441406,306.0,306.0,15.21716594696045,3620.560302734375,246.66696166992188,246.3380126953125,212.86386108398438,212.86477661132812,272.41143798828125,272.691162109375,
31.05,1.0163555145263672,294.42388916015625,306.330078125,282.7972412109375,5.819689750671387,243.7196044921875,244.40476989746094,306.0,306.0,15.217353820800781,3620.221435546875,246.6406707763672,246.3419647216797,212.8638916015625,212.86485290527344,272.4197998046875,272.69891357421875,
31.9,1.0163301229476929,294.4240417480469,306.3292236328125,282.7974853515625,5.819878578186035,243.78643798828125,244.4713134765625,306.0,306.0,15.220221519470215,3620.453125,246.7011260986328,246.3096160888672,212.8637237548828,212.86463928222656,272.42218017578125,272.69952392578125,
